Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
136775,22443736,165.45,5.00,0.32,0.29,0.34,0.32,0.32,0.29,0.34,0.32,0.3185640678099949,1.0937362392470313
136783,66879340,164.18,4.29,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.1864748912532527,0.6508459553329968
137019,70165712,224.53,44.85,1.14,1.31,0.42,0.55,1.14,1.31,0.42,0.55,1.3178284410687242,4.253800750053426
137065,22012496,75.59,3.47,0.41,0.41,0.52,0.52,0.41,0.41,0.52,0.52,0.6609179731178285,2.2737269318307853
137096,70551815,208.08,10.05,0.26,0.27,0.30,0.32,0.26,0.27,0.30,0.32,0.2522930026058505,0.846452460657187
137296,24212476,299.00,3.40,0.55,0.56,0.45,0.49,0.55,0.56,0.45,0.49,0.8074807944967067,2.7831720536773696
137350,7930341,336.01,24.50,1.85,4.58,2.40,1.32,1.85,4.58,2.40,1.32,15.329092606110967,43.34908296784042
137390,43495485,5.93,10.35,1.41,0.69,0.46,0.45,1.41,0.69,0.46,0.45,1.3032118480014325,4.293389075396172
137467,64735045,350.90,34.50,0.63,0.62,0.38,0.42,0.63,0.62,0.38,0.42,0.6137992779857271,2.0994329905141713
137469,77414913,335.92,1.38,0.24,0.26,0.24,0.23,0.24,0.26,0.24,0.23,0.18699246042552162,0.6497874848813641
137537,52990531,24.79,0.52,0.29,0.26,0.27,0.25,0.29,0.26,0.27,0.25,0.22196467799977848,0.7589279486392908
137571,16496893,17.71,8.39,0.38,0.39,0.54,0.61,0.38,0.39,0.54,0.61,0.6776777119488815,2.298586582238817
137661,22129736,123.93,19.19,0.33,0.42,0.46,0.49,0.33,0.42,0.46,0.49,0.48781858960611696,1.849645131473263
137668,51133257,359.38,3.32,0.23,0.33,0.24,0.29,0.23,0.33,0.24,0.29,0.23058737721297448,0.7783727075231075
137711,79205800,72.95,34.50,0.27,0.28,0.36,0.23,0.27,0.28,0.36,0.23,0.20280996172829302,0.6909522240133319
137794,38132005,7.47,2.72,0.68,0.52,0.39,0.34,0.68,0.52,0.39,0.34,0.6823799049523949,2.284382333457978
137806,8756840,119.31,10.28,0.44,0.48,0.43,0.41,0.44,0.48,0.43,0.41,0.5963613100720541,2.0282517828775077
