RUNID,EVENTID,START,EVENTMJD,ENERGY,FAR,SIGNAL
134599,66310113,"2020-10-14 02:13:27.531,912,080,9 UTC",59136.0926797675,155.7,1.55,0.437
134621,31008065,"2020-10-21 06:37:47.483,149,611,9 UTC",59143.276244017936,108.6,2.63,0.314
134698,40735501,"2020-11-14 15:05:31.964,633,125,1 UTC",59167.62884218325,228.1,0.81,0.586
134699,70289682,"2020-11-15 02:07:26.213,474,545,3 UTC",59168.08849784114,184.2,1.39,0.485
134715,65785778,"2020-11-20 09:44:40.556,529,418,1 UTC",59173.40602495983,169.7,0.23,0.552
134751,31476488,"2020-11-30 20:21:46.475,580,493,6 UTC",59183.84845457848,193.8,91.58,0.008
134777,8912764,"2020-12-09 10:15:43.943,730,635,8 UTC",59192.42759194133,437.9,28.22,0.021
134817,29175858,"2020-12-21 12:36:53.454,901,528,3 UTC",59204.52561869099,188.4,0.15,0.595
134818,73718836,"2020-12-22 00:56:16.144,536,667,6 UTC",59205.03907574695,193.6,0.94,0.555
134979,17138286,"2021-02-10 11:53:55.646,044,881,1 UTC",59255.495782940336,309.7,0.43,0.676
135251,10024822,"2021-05-03 22:19:32.960,612,368,6 UTC",59337.93024259968,114.4,0.59,0.431
135270,69188496,"2021-05-10 04:50:10.738,869,251,3 UTC",59344.20151318136,121.0,3.55,0.307
135292,56063172,"2021-05-16 14:38:20.337,025,333,2 UTC",59350.60995760446,112.6,2.86,0.306
135363,69917294,"2021-06-08 03:41:00.975,068,912,5 UTC",59373.15348350774,108.5,2.63,0.333
135440,3139778,"2021-06-29 18:09:44.225,537,537,6 UTC",59394.75676186965,130.4,1.9,0.368
135504,28341937,"2021-07-17 15:44:59.100,570,370,9 UTC",59412.65623958994,155.0,0.19,0.515
135553,7213992,"2021-07-30 22:12:40.629,541,640,7 UTC",59425.92547024933,114.6,2.29,0.346
135591,36044887,"2021-08-11 02:02:44.037,543,270,4 UTC",59437.08523191601,238.0,0.66,0.685
135736,30987826,"2021-09-22 18:17:20.948,096,804,7 UTC",59479.76204801038,800.3,0.15,0.932
135832,55176071,"2021-10-23 08:31:18.317,772,582,9 UTC",59510.355073122366,132.9,2.75,0.347
135906,30719293,"2021-11-16 10:33:16.052,476,484,4 UTC",59534.439769125886,167.5,1.73,0.424
135908,43512334,"2021-11-17 03:50:57.183,986,444,2 UTC",59535.16038407392,202.9,1.01,0.549
135930,15193553,"2021-11-23 14:25:22.607,102,348,6 UTC",59541.60095610072,153.1,2.25,0.375
135936,74588253,"2021-11-25 06:22:21.556,349,819,5 UTC",59543.26552727257,123.9,1.85,0.403
136015,21306805,"2021-12-08 20:02:51.091,465,707,5 UTC",59556.83531355863,177.6,1.09,0.524
136055,348073,"2021-12-16 07:07:38.137,936,639,0 UTC",59564.29696918908,117.3,2.22,0.362
136057,6147475,"2021-12-16 23:41:13.939,514,538,0 UTC",59564.98696689253,116.2,2.26,0.365
136170,48281000,"2022-01-15 12:11:39.754,405,612,0 UTC",59594.50809900933,115.1,1.75,0.397
136241,22093816,"2022-02-02 11:48:38.589,041,817,6 UTC",59612.49211329909,74.7,5.69,0.225
136249,27650203,"2022-02-05 00:22:39.739,625,671,8 UTC",59615.015737727146,113.1,2.36,0.34
136260,4895987,"2022-02-05 20:08:10.595,192,030,5 UTC",59615.83901151842,229.8,0.61,0.618
136348,65788242,"2022-02-21 00:42:19.118,797,739,0 UTC",59631.02938794905,173.4,0.55,0.561
136366,14203460,"2022-02-25 14:12:00.684,265,491,3 UTC",59635.59167458641,159.5,2.03,0.397
136385,7450363,"2022-03-03 18:00:07.621,977,071,7 UTC",59641.750088217326,420.1,0.49,0.782
136388,4701751,"2022-03-04 17:44:12.213,316,628,6 UTC",59642.73903024672,283.6,0.48,0.652
136392,25495567,"2022-03-06 03:46:37.067,739,220,9 UTC",59644.15737346921,434.1,0.42,0.791
136441,11435033,"2022-03-17 02:32:17.682,850,103,7 UTC",59655.105760218175,143.0,1.76,0.386
136504,1833389,"2022-04-05 04:57:26.115,707,089,2 UTC",59674.20655226513,131.7,2.9,0.34
136506,15341152,"2022-04-05 22:20:03.412,949,008,4 UTC",59674.93059505728,109.7,1.87,0.382
136556,43687362,"2022-04-21 05:20:18.257,483,012,1 UTC",59690.22243353568,161.0,1.93,0.394
136565,2186969,"2022-04-24 01:06:24.063,851,946,9 UTC",59693.04611185014,191.0,1.1,0.519
136568,17854328,"2022-04-25 02:44:57.815,961,735,1 UTC",59694.11455805511,649.7,142.63,0.005
136588,56014830,"2022-05-01 22:50:58.635,440,137,3 UTC",59700.952067539816,139.5,1.91,0.423
136615,14688828,"2022-05-09 18:19:04.116,187,531,0 UTC",59708.7632420855,185.6,1.35,0.479
136627,61640402,"2022-05-13 23:23:12.606,408,102,4 UTC",59712.97445146306,221.3,0.78,0.583
136662,35405932,"2022-05-24 07:41:32.185,352,495,1 UTC",59723.32051140454,125.0,2.57,0.352
136766,7637140,"2022-06-24 16:13:16.405,259,410,9 UTC",59754.67588432013,200.3,0.17,0.631
136775,22443736,"2022-06-27 17:51:54.275,870,508,4 UTC",59757.74437819295,136.0,3.16,0.332
136783,66879340,"2022-06-29 23:51:31.692,950,068,6 UTC",59759.99411681655,139.1,3.0,0.34
136973,28816141,"2022-08-22 20:26:30.030,017,816,7 UTC",59813.85173645854,122.1,1.82,0.402
137019,70165712,"2022-09-07 06:46:47.515,983,693,2 UTC",59829.28249439796,137.7,0.39,0.478
137065,22012496,"2022-09-18 12:46:05.322,758,760,8 UTC",59840.532006050445,174.8,1.58,0.443
137096,70551815,"2022-09-28 12:32:38.300,221,768,1 UTC",59850.522665511824,155.9,1.74,0.407
137217,75180896,"2022-11-04 06:10:08.180,770,112,4 UTC",59887.25703912928,112.1,2.41,0.335
137296,24212476,"2022-11-24 15:46:02.269,293,460,9 UTC",59907.65697070942,154.0,2.43,0.369
137350,7930341,"2022-12-10 08:35:11.239,203,605,2 UTC",59923.357768972266,171.0,0.91,0.528
137390,43495485,"2022-12-16 06:00:14.017,752,066,5 UTC",59929.250162242504,161.6,1.46,0.436
137467,64735045,"2022-12-23 07:43:00.522,906,459,0 UTC",59936.321533829934,373.0,0.24,0.811
137469,77414913,"2022-12-24 00:55:09.290,918,213,8 UTC",59937.03830197822,120.0,3.47,0.312
137487,35344578,"2022-12-29 07:25:27.884,369,430,5 UTC",59942.30935051353,221.3,0.85,0.574
137537,52990531,"2023-01-12 06:44:50.603,724,448,8 UTC",59956.28114124681,114.8,3.71,0.301
137571,16496893,"2023-01-22 03:50:02.000,612,862,0 UTC",59966.15974537747,111.1,3.28,0.29
137603,30799022,"2023-02-01 06:20:54.421,489,830,3 UTC",59976.264518767246,130.5,1.87,0.365
137661,22129736,"2023-02-17 20:49:43.375,551,630,8 UTC",59992.86786314296,31.2,26.27,0.08
137668,51133257,"2023-02-20 07:39:10.837,370,548,4 UTC",59995.31887543253,158.3,2.16,0.383
137711,79205800,"2023-03-06 10:59:30.413,953,322,2 UTC",60009.457990902236,182.5,0.63,0.584
137794,38132005,"2023-04-01 16:14:18.906,662,821,4 UTC",60035.67660771601,114.3,3.81,0.292
137806,8756840,"2023-04-05 13:20:20.045,502,800,2 UTC",60039.55578756369,114.0,2.62,0.317
137840,57034692,"2023-04-16 05:22:26.150,574,719,2 UTC",60050.2239137798,137.3,2.31,0.359
137910,29871391,"2023-05-06 15:53:45.937,719,854,0 UTC",60070.66233724213,224.9,0.74,0.666
137932,1791376,"2023-05-11 18:03:50.104,434,205,2 UTC",60075.75266324577,184.3,0.4,0.587
137971,11526243,"2023-05-24 11:09:36.248,723,068,7 UTC",60088.46500287874,112.9,3.94,0.284
138005,24780443,"2023-06-03 05:00:47.130,120,596,8 UTC",60098.20887882084,154.8,1.12,0.475
138125,11333473,"2023-07-07 16:58:50.035,539,772,5 UTC",60132.70752355949,301.2,0.39,0.684
138125,29513102,"2023-07-07 18:56:51.435,389,424,7 UTC",60132.789484205896,160.2,1.2,0.488
138131,35302784,"2023-07-08 08:17:05.211,280,638,0 UTC",60133.34519920464,221.9,0.85,0.58
138181,66037171,"2023-07-24 01:49:13.381,298,583,2 UTC",60149.07584932059,198.8,1.02,0.549
138193,21103478,"2023-07-25 21:30:51.063,687,415,8 UTC",60150.89642434823,154.7,1.56,0.416
138198,44334860,"2023-07-27 16:05:39.630,288,916,5 UTC",60152.67059757279,118.1,3.15,0.312
138354,45413430,"2023-09-14 05:21:03.717,216,169,3 UTC",60201.22295969,174.2,0.81,0.561
138415,56188508,"2023-10-04 14:39:41.180,329,723,7 UTC",60221.610893290854,464.8,0.42,0.85
138449,20481611,"2023-10-14 22:00:06.269,328,625,0 UTC",60231.91673922834,115.4,3.67,0.302
138487,60138479,"2023-10-27 04:16:10.447,625,057,2 UTC",60244.17789869937,198.8,0.15,0.642
138515,8773328,"2023-11-03 09:17:35.299,474,361,6 UTC",60251.387214114286,187.2,0.15,0.614
138599,39138591,"2023-11-25 22:34:56.645,394,911,3 UTC",60273.940933395774,199.0,0.15,0.645
138632,31747601,"2023-12-02 17:08:24.093,230,219,9 UTC",60280.71416774572,108.2,4.4,0.271
138669,4054005,"2023-12-11 00:47:31.792,227,083,7 UTC",60289.03300685448,106.3,3.3,0.277
138821,46175426,"2024-01-05 12:27:42.573,790,019,0 UTC",60314.5192427522,109.5,2.64,0.301
138890,34080563,"2024-01-23 11:25:36.052,987,897,7 UTC",60332.4761117244,110.5,4.15,0.267
138938,62272876,"2024-02-04 09:09:00.440,903,016,8 UTC",60344.38125510304,155.9,1.61,0.414
139071,47725621,"2024-02-29 15:48:21.516,454,691,5 UTC",60369.65858236638,163.2,1.34,0.477
139100,34742349,"2024-03-07 07:44:57.380,762,568,6 UTC",60376.322886351416,191.9,0.23,0.606
139204,39158985,"2024-03-27 11:04:49.927,732,967,1 UTC",60396.461688978394,199.7,1.03,0.539
139205,9784024,"2024-03-27 16:12:30.472,622,495,6 UTC",60396.67535269239,152.7,2.42,0.371
139279,10803235,"2024-04-12 05:33:46.899,906,295,3 UTC",60412.23179282299,121.3,3.41,0.309
139303,27647445,"2024-04-19 23:25:41.045,413,891,1 UTC",60419.97616950711,120.8,3.43,0.315
139315,50057906,"2024-04-24 01:49:26.001,327,738,4 UTC",60424.075995385734,192.4,1.22,0.508
139674,30853199,"2024-07-21 16:17:25.765,257,454,4 UTC",60512.67877043122,147.0,1.38,0.454
139685,1723093,"2024-07-25 05:11:37.935,756,999,1 UTC",60516.216411293484,105.1,0.9,0.387
139735,13003768,"2024-08-08 06:32:39.253,674,676,2 UTC",60530.27267654716,126.8,1.18,0.445
139912,46959751,"2024-09-29 09:55:54.033,758,979,0 UTC",60582.41381983517,267.8,0.76,0.712
139939,8268246,"2024-10-06 22:38:14.304,220,235,2 UTC",60589.94322111366,133.3,2.56,0.347
140078,30891383,"2024-11-13 00:22:20.682,426,622,3 UTC",60627.01551715771,105.5,3.87,0.263
140125,41215060,"2024-11-27 14:11:14.424,184,172,7 UTC",60641.5911391688,187.7,1.28,0.491
140284,303893,"2024-12-24 07:10:04.350,392,520,8 UTC",60668.298661462875,114.3,3.82,0.292
140312,53817657,"2025-01-01 21:04:57.733,097,077,1 UTC",60676.87844598492,161.5,1.92,0.406
140314,61338661,"2025-01-02 13:48:01.925,113,654,1 UTC",60677.57502228141,107.0,4.2,0.259
