RUNID,EVENTID,START,EVENTMJD,ENERGY,FAR,SIGNAL
122055,5809789,"2013-03-16 17:39:49.756,993,975,6 UTC",56367.7359925578,108.1,0.62,0.393
122060,56194427,"2013-03-18 06:49:44.063,568,519,5 UTC",56369.284537772786,109.1,2.44,0.345
122152,30701331,"2013-04-08 04:31:50.097,918,236,3 UTC",56390.18877428146,34.6,19.82,0.098
122154,6905361,"2013-04-08 18:12:01.814,422,258,6 UTC",56390.75835433359,169.2,1.7,0.419
122160,52726834,"2013-04-09 23:34:38.727,742,699,4 UTC",56391.98239268221,121.3,1.35,0.429
122316,49995489,"2013-05-08 15:23:19.458,615,584,9 UTC",56420.64119743768,150.8,1.05,0.471
122318,21601607,"2013-05-09 04:27:35.818,504,762,8 UTC",56421.185831232695,108.1,4.45,0.264
122361,46565711,"2013-05-19 11:35:18.569,648,402,3 UTC",56431.482853815374,113.4,1.95,0.383
122469,31925079,"2013-05-31 13:21:58.315,646,463,2 UTC",56443.55692494961,153.7,2.36,0.371
122604,17469985,"2013-06-27 02:38:57.792,023,133,2 UTC",56470.11039111138,911.1,0.19,0.945
122605,60656774,"2013-06-27 10:13:17.887,813,420,6 UTC",56470.42590147932,131.8,3.23,0.327
122663,58987459,"2013-07-11 12:42:57.619,644,596,5 UTC",56484.5298335607,171.1,1.55,0.451
122768,38570780,"2013-07-31 01:44:12.780,217,729,5 UTC",56504.07237014141,131.7,2.87,0.336
122772,38615684,"2013-08-01 06:09:01.590,266,386,0 UTC",56505.25626840586,113.0,3.2,0.298
122793,12516001,"2013-08-04 19:33:03.083,424,477,1 UTC",56508.81461902112,117.8,2.16,0.346
122818,16944987,"2013-08-08 08:09:00.253,298,357,7 UTC",56512.33958626503,114.4,2.86,0.312
122895,69011827,"2013-08-22 09:48:20.016,609,815,7 UTC",56526.408565007056,122.0,3.36,0.318
123107,8144529,"2013-10-14 21:49:15.813,332,438,9 UTC",56579.909210802456,315.2,0.64,0.686
123145,34573112,"2013-10-23 13:24:14.912,116,943,4 UTC",56588.55850592728,115.9,2.19,0.336
123228,40504010,"2013-11-08 13:15:45.648,572,327,5 UTC",56604.552611673294,159.2,0.18,0.523
123240,49730417,"2013-11-12 00:44:59.433,339,541,5 UTC",56608.03124344143,7526.3,0.19,0.272
123281,52248792,"2013-11-24 03:28:52.708,420,984,6 UTC",56620.14505449561,186.8,0.87,0.575
123334,75182550,"2013-12-04 11:16:54.259,679,881,5 UTC",56630.47007245,270.3,221.67,0.004
123620,47444787,"2014-01-01 09:41:33.818,883,103,5 UTC",56658.40386364448,212.4,0.81,0.583
