# run evtid TE_ORIG[TeV] evttype
131602 39194539 23.47609332254685 LED
131624 12296708 107.61140284869924 HED
131653 53411354 120.05204030556698 HED
131653 63430929 32.37930119721069 LED
131746 47815348 32.98752430877207 LED
131764 48222919 45.529200564192166 LED
131767 7377802 17.261701719912374 LED
131768 80926380 50.662759685984895 HED
131913 38717715 201.7014018707159 HED
132043 80110393 60.5992673907086 HED
132077 9759013 273.64158444019364 HED
132128 69441226 52.96163676109108 HED
132206 36575563 134.82365419591534 HED
132229 66688965 199.93157318189472 HED
132237 23969090 46.0513407156554 LED
132321 28454069 45.244508781447806 LED
132427 70353420 30.56994000211769 LED
132437 16335312 23.028622634254802 LED
132437 67132865 24.211163153696862 LED
132443 12627143 31.161518932915328 LED
132465 3856549 42.765796504138514 LED
132508 42419327 64.55750267602947 HED
132518 766165 159.14929579973497 HED
132577 42662743 462.07728896032677 HED
132684 5635104 76.85981442190581 HED
132707 54984442 47.76307430741968 LED
132768 5390846 20.959463453574813 LED
132792 60166398 44.060434802151825 LED
132814 44222682 42.83940417515645 LED
132910 57145925 108.12114121124016 HED
132974 67924813 93.46015071757606 HED
133091 81419 1339.7959612134746 HED
133092 52499868 31.213986578699657 LED
133119 22683750 66.75508192213951 HED
133331 47828126 31.31495340125339 LED
133348 80807014 43.910154032096585 LED
133394 27261780 55.85208424150141 HED
133433 29047901 34.578795123458484 LED
133572 82361476 81.58103442833894 HED
133609 37927131 71.8291808507556 HED
133634 1410505 36.425432454662904 LED
133644 43767651 1272.520564938672 HED
133945 24635982 15.323374103851782 LED
133985 60770138 22.87070798065239 LED
134013 16038252 120.39184427755285 HED
134081 58268464 22.6492513630201 LED
134116 58596690 15.97081140973743 LED
134139 35473338 196.77478280555263 HED
134187 72386329 32.47583827469867 LED
134191 17593623 117.06413227785465 HED
134207 33533447 44.83980951218617 LED
134354 59221243 38.47090880611363 LED
134482 27754576 34.88768682177239 LED
134498 12605830 19.450069149674484 LED
134512 71996695 31.46508644381759 LED
134533 53384881 314.8207673129694 HED
134535 41069485 95.21676446915482 HED
134552 68615710 126.43003347306754 HED
134577 31638233 356.3958483926918 HED
134599 66310113 443.0456516507793 HED
134621 31008065 26.535903088227208 LED
134698 40735501 98.69788922115082 HED
134699 70289682 48.809844718946366 LED
134715 65785778 17.129463418867246 LED
134751 31476488 150.48486077513581 HED
134777 8912764 156.29550147674442 HED
134817 29175858 71.947827025759 HED
134818 73718836 57.13266476882189 HED
134979 17138286 110.8256803911974 HED
135251 10024822 21.316141494847383 LED
135270 69188496 28.63887014173175 LED
135292 56063172 25.236496806847697 LED
135363 69917294 62.165817167167425 HED
135440 3139778 22.762179129573788 LED
135504 28341937 204.5497119863323 HED
135553 7213992 29.938150920637348 LED
135591 36044887 50.7414394739322 HED
135736 30987826 296.5408244615059 HED
135832 55176071 31.82566930777552 LED
135906 30719293 119.95114410697981 HED
135908 43512334 42.553870556415795 LED
135930 15193553 36.3072692962137 LED
135936 74588253 35.44874032851465 LED
136015 21306805 38.163937576805175 LED
