Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
122469,31925079,164.79,6.17,0.26,0.27,0.29,0.31,0.26,0.27,0.29,0.31,0.2454117991749181,0.8241348032227193
122604,17469985,92.94,17.04,0.39,0.41,0.55,0.48,0.39,0.41,0.55,0.48,0.5986426901913204,2.041364469634775
122605,60656774,153.59,3.81,0.32,0.44,0.37,0.38,0.32,0.44,0.37,0.38,0.4481207303895366,1.524455563320975
122663,58987459,78.09,-2.31,0.27,0.24,0.31,0.29,0.27,0.24,0.31,0.29,0.24022729537338927,0.8108709619915061
122768,38570780,123.40,6.77,0.46,0.49,0.56,0.55,0.46,0.49,0.56,0.55,0.8189205454345982,2.79027532597545
122772,38615684,216.12,8.20,0.36,0.38,0.34,0.34,0.36,0.38,0.34,0.34,0.3896897375736897,1.4507044844712738
122793,12516001,128.98,12.79,0.25,0.25,0.26,0.24,0.25,0.25,0.26,0.24,0.19214253367421666,0.6715108261067628
122818,16944987,26.32,9.29,0.40,0.36,0.37,0.31,0.40,0.36,0.37,0.31,0.38936509255845125,1.2865802219527485
122895,69011827,91.36,0.52,0.26,0.24,0.26,0.26,0.26,0.24,0.26,0.26,0.2063821387048732,0.6803289133757
#122973,6578595,129.02,-10.77,0.22,0.20,0.23,0.21,0.22,0.20,0.23,0.21,0.13329074444551112,0.45599608172618405
123107,8144529,32.78,10.47,0.19,0.18,0.21,0.27,0.19,0.18,0.21,0.27,0.13288212661937274,0.47403106307794257
123145,34573112,301.73,11.83,0.30,0.31,0.30,0.29,0.30,0.31,0.30,0.29,0.25060219230238157,0.8089845449443865
123228,40504010,342.70,42.41,0.52,0.44,0.45,0.27,0.52,0.44,0.45,0.27,0.37676170065867187,1.2455987800885984
123240,49730417,128.85,-17.82,0.22,0.24,0.13,0.12,0.22,0.24,0.13,0.12,0.08326036795451726,0.3237533283720974
123281,52248792,285.82,19.67,0.52,0.41,0.51,0.45,0.52,0.41,0.51,0.45,0.6565768685014232,2.3110809103674255
123334,75182550,288.59,-13.63,0.33,0.31,0.33,0.38,0.33,0.31,0.33,0.38,0.3404185013933519,1.1428919912685058
