Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
131519,27561842,258.27,33.33,0.30,0.35,0.32,0.29,0.30,0.35,0.32,0.29,0.25852431822870703,0.9036987392374218
131602,39194539,77.30,1.42,0.26,0.28,0.30,0.34,0.26,0.28,0.30,0.34,0.26697708675382026,0.8886246013365129
131624,12296708,224.47,-34.86,0.50,0.45,0.29,0.44,0.50,0.45,0.29,0.44,0.41722731771525773,1.3474724655501298
131653,53411354,269.56,-8.54,0.39,0.34,0.45,0.44,0.39,0.34,0.45,0.44,0.4866033591814954,1.7038531677955968
131653,63430929,78.27,21.38,0.26,0.27,0.27,0.28,0.26,0.27,0.27,0.28,0.21441918251761508,0.7241898264546553
131746,47815348,5.14,18.92,0.29,0.30,0.28,0.28,0.29,0.30,0.28,0.28,0.2450369185187796,0.8152081520713934
131764,48222919,26.02,13.06,0.68,0.67,0.51,0.57,0.68,0.67,0.51,0.57,1.0725479579765889,3.649750115638811
131767,7377802,323.13,49.17,1.12,1.12,1.20,1.18,1.12,1.12,1.20,1.18,2.6809815995262922,8.981623580625772
131768,80926380,132.89,29.96,1.16,1.86,1.91,1.86,1.16,1.86,1.91,1.86,6.822317149752003,22.063818390037568
131913,38717715,316.67,-28.12,1.03,1.54,0.83,0.85,1.03,1.54,0.83,0.85,2.718151447796974,8.51453417308187
132043,80110393,57.17,-0.67,0.32,0.35,0.37,0.28,0.32,0.35,0.37,0.28,0.35269283738783214,1.120144387492899
132077,9759013,307.27,-32.18,0.23,0.21,0.13,0.18,0.23,0.21,0.13,0.18,0.08161550502075544,0.2702203946828775
132128,69441226,244.69,38.44,0.28,0.24,0.23,0.23,0.28,0.24,0.23,0.23,0.14638098496034263,0.47623189177939085
132206,36575563,227.77,-4.18,0.31,0.33,0.30,0.22,0.31,0.33,0.30,0.22,0.2558367503210744,0.8942374349390335
132229,66688965,268.42,-16.92,0.32,0.36,0.44,0.18,0.32,0.36,0.44,0.18,0.3046571681301649,0.9270447601376647
132237,23969090,155.13,19.75,0.28,0.26,0.25,0.23,0.28,0.26,0.25,0.23,0.1897459877252646,0.6461349470968558
132321,28454069,81.78,3.51,0.51,0.52,0.54,0.61,0.51,0.52,0.54,0.61,0.9255186442387631,3.153521213842005
132427,70353420,309.86,11.64,0.33,0.33,0.38,0.38,0.33,0.33,0.38,0.38,0.38494915684755826,1.3227671302117296
132437,16335312,219.59,11.87,0.24,0.27,0.25,0.27,0.24,0.27,0.25,0.27,0.2016816743789432,0.6716026061821941
132437,67132865,245.39,22.23,0.32,0.32,0.26,0.30,0.32,0.32,0.26,0.30,0.2628811686156188,0.9100004130696562
132443,12627143,155.13,5.38,0.39,0.34,0.32,0.38,0.39,0.34,0.32,0.38,0.39636366453385674,1.3921116393415491
132465,3856549,167.83,17.74,0.33,0.34,0.44,0.35,0.33,0.34,0.44,0.35,0.38699103900821535,1.3236205086764896
132508,42419327,120.54,6.58,0.38,0.49,0.32,0.40,0.38,0.49,0.32,0.40,0.4824191601286887,1.5846136241852782
132518,766165,64.51,-37.40,0.55,0.45,0.41,0.34,0.55,0.45,0.41,0.34,0.3949042345520745,1.6949163738281683
132577,42662743,128.32,12.75,0.38,0.32,0.32,0.35,0.38,0.32,0.32,0.35,0.35450896884592215,1.2091983149488341
132684,5635104,311.92,26.94,0.36,0.30,0.40,0.37,0.36,0.30,0.40,0.37,0.3378752167474946,1.0730891447542672
132707,54984442,343.17,10.05,0.33,0.41,0.30,0.32,0.33,0.41,0.30,0.32,0.3525392439504493,1.1867118264667742
132768,5390846,24.03,84.61,8.98,8.32,0.95,0.90,8.98,8.32,0.95,0.90,2.0896356403334497,7.421766777618351
132792,60166398,161.19,27.32,0.37,0.37,0.42,0.38,0.37,0.37,0.42,0.38,0.40628436507124116,1.3473693822366424
132814,44222682,78.71,12.41,0.75,0.82,0.56,0.49,0.75,0.82,0.56,0.49,1.1332642620417182,3.804301193765971
132910,57145925,226.58,10.12,0.46,0.45,0.63,0.52,0.46,0.45,0.63,0.52,0.795507187258055,2.5394765871501783
132974,67924813,148.45,1.01,0.86,0.55,0.28,0.30,0.86,0.55,0.28,0.30,0.6140384679715206,2.1227810209445996
133091,81419,168.22,-22.43,0.88,0.90,0.75,0.84,0.88,0.90,0.75,0.84,2.0044225920667795,6.8051880365548305
133092,52499868,5.98,-1.45,0.27,0.23,0.25,0.29,0.27,0.23,0.25,0.29,0.20991812994939077,0.7265072453334664
133119,22683750,313.07,12.10,1.62,0.88,0.60,0.73,1.62,0.88,0.60,0.73,2.4397155199180554,7.947741848246556
133331,47828126,228.82,3.36,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34589443126660674,1.3018446806936637
133348,80807014,28.04,0.04,0.35,0.33,0.31,0.30,0.35,0.33,0.31,0.30,0.3207450286408443,1.0720006794639174
133394,27261780,80.24,2.72,0.47,0.38,0.30,0.31,0.47,0.38,0.30,0.31,0.3956772196452293,1.4393543807862204
133433,29047901,287.04,58.35,0.52,0.52,0.33,0.36,0.52,0.52,0.33,0.36,0.2934671313310636,0.9942491650650553
133572,82361476,53.35,19.63,1.80,2.03,1.28,1.13,1.80,2.03,1.28,1.13,5.883848244360608,19.33157830962905
133609,37927131,165.50,13.67,0.94,0.61,0.52,0.73,0.94,0.61,0.52,0.73,1.4056063362854063,4.883634519296764
133634,1410505,115.97,29.31,0.28,0.28,0.26,0.25,0.28,0.28,0.26,0.25,0.19252989725576516,0.6771204300159979
#133644,43767651,67.46,-14.48,0.18,0.14,0.11,0.13,0.18,0.14,0.11,0.13,0.05789640488073144,0.2071661600129893
133945,24635982,241.44,11.61,0.55,0.61,0.60,0.57,0.55,0.61,0.60,0.57,1.0307991995069445,5.79268837494653
133985,60770138,89.08,7.86,0.47,0.46,0.34,0.37,0.47,0.46,0.34,0.37,0.510444363983883,1.7317647518624244
134013,16038252,100.27,53.76,1.02,0.96,0.49,0.42,1.02,0.96,0.49,0.42,0.764747948959496,2.5891487386015313
134081,58268464,295.40,16.02,0.30,0.27,0.31,0.32,0.30,0.27,0.31,0.32,0.2665912141292762,0.9126678397933188
134116,58596690,338.95,2.16,0.75,0.65,0.34,0.36,0.75,0.65,0.34,0.36,0.7605103729655717,2.605467243329658
134139,35473338,254.58,26.36,0.55,0.55,0.53,0.62,0.55,0.55,0.53,0.62,0.830685987865435,2.7560398332120153
134187,72386329,28.74,31.17,0.44,0.49,0.36,0.37,0.44,0.49,0.36,0.37,0.4565636175580595,1.6057697314976802
134191,17593623,143.13,3.58,0.31,0.27,0.35,0.33,0.31,0.27,0.35,0.33,0.30517897973708424,1.0119603804108448
134207,33533447,162.20,11.95,0.23,0.29,0.24,0.27,0.23,0.29,0.24,0.27,0.1998488500979752,0.6610431257970633
134354,59221243,157.05,47.75,0.36,0.40,0.26,0.23,0.36,0.40,0.26,0.23,0.1977313292881669,0.634396467946945
134482,27754576,51.20,38.02,0.35,0.43,0.44,0.33,0.35,0.43,0.44,0.33,0.36661790299757147,1.2421936845785764
134498,12605830,109.38,14.32,0.28,0.28,0.29,0.26,0.28,0.28,0.29,0.26,0.2320420125828851,0.7798269039677819
134512,71996695,195.21,26.40,0.28,0.31,0.30,0.29,0.28,0.31,0.30,0.29,0.24640944218600205,0.7956499364354308
134533,53384881,96.77,-4.63,0.29,0.24,0.39,0.25,0.29,0.24,0.39,0.25,0.27146441604579913,0.9153731381329933
134535,41069485,185.98,31.78,1.13,1.35,0.80,0.88,1.13,1.35,0.80,0.88,2.7704044704512514,8.61529229160601
134552,68615710,28.65,3.02,0.40,0.33,0.23,0.20,0.40,0.33,0.23,0.20,0.2408040710852169,0.8785346828146279
134577,31638233,265.30,5.38,0.20,0.38,0.19,0.34,0.20,0.38,0.19,0.34,0.20402636853382705,0.6466700304320597
134599,66310113,220.83,14.48,0.29,0.30,0.26,0.31,0.29,0.30,0.26,0.31,0.25534359195990863,0.9233342397518183
134621,31008065,260.73,14.63,0.36,0.28,0.27,0.24,0.36,0.28,0.27,0.24,0.24360316436129542,0.8180574823501834
134698,40735501,104.59,5.49,0.47,0.44,0.51,0.43,0.47,0.44,0.51,0.43,0.6565810749061726,2.1780192385494823
134699,70289682,193.71,1.45,0.31,0.27,0.31,0.30,0.31,0.27,0.31,0.30,0.2759730175953839,0.8999281817732419
134715,65785778,307.84,40.23,0.87,0.82,0.45,0.39,0.87,0.82,0.45,0.39,0.7356128416935267,2.596719794577236
134751,31476488,30.15,-13.29,0.36,0.46,0.51,0.52,0.36,0.46,0.51,0.52,0.6470043580256853,2.230317182636954
134777,8912764,7.03,-9.10,0.32,0.33,0.41,0.44,0.32,0.33,0.41,0.44,0.3618851893390142,1.221263440462836
134817,29175858,262.00,41.66,0.46,0.46,0.45,0.43,0.46,0.46,0.45,0.43,0.47036463988164273,1.724812718156445
134818,73718836,206.89,13.52,0.26,0.34,0.28,0.25,0.26,0.34,0.28,0.25,0.21923789788618517,0.7176824286542406
134979,17138286,206.85,4.41,0.24,0.25,0.31,0.26,0.24,0.25,0.31,0.26,0.21529610805564964,0.7762853916459159
135251,10024822,143.09,41.36,0.57,0.61,0.56,0.66,0.57,0.61,0.56,0.66,0.8540430656198166,2.9453527061515135
135270,69188496,268.02,4.03,0.24,0.26,0.28,0.22,0.24,0.26,0.28,0.22,0.19755325903316415,0.6176336507252562
135292,56063172,91.80,9.67,0.26,0.26,0.27,0.23,0.26,0.26,0.27,0.23,0.2013310411617495,0.6837888625856938
135363,69917294,337.19,17.50,2.51,1.91,0.94,0.78,2.51,1.91,0.94,0.78,5.298071833623049,15.917424688268719
135440,3139778,340.71,12.64,0.22,0.29,0.22,0.31,0.22,0.29,0.22,0.31,0.20625056727004995,0.6726734541831303
135504,28341937,46.14,-1.94,0.56,0.58,0.58,0.82,0.56,0.58,0.58,0.82,1.2183396199397996,4.3027162724302235
135553,7213992,105.82,14.86,0.27,0.27,0.28,0.26,0.27,0.27,0.28,0.26,0.22255671961018425,0.7625699531166775
135591,36044887,270.88,25.41,0.34,0.39,0.26,0.28,0.34,0.39,0.26,0.28,0.2643976255967081,0.9265764915800618
135736,30987826,60.69,-4.33,0.18,0.22,0.13,0.18,0.18,0.22,0.13,0.18,0.09359737357942768,0.3216406395404038
135832,55176071,253.56,-1.68,0.24,0.28,0.27,0.29,0.24,0.28,0.27,0.29,0.22697278621208314,0.7709988696769952
135906,30719293,42.36,0.04,0.62,0.53,0.43,0.42,0.62,0.53,0.43,0.42,0.7625844912001621,2.5439201307949943
135908,43512334,225.62,-0.15,0.25,0.27,0.27,0.27,0.25,0.27,0.27,0.27,0.21836373213075552,0.7264590783545275
135930,15193553,265.03,7.03,0.37,0.36,0.42,0.43,0.37,0.36,0.42,0.43,0.47984526025453533,1.6203521176910956
135936,74588253,43.86,21.50,0.50,0.37,0.32,0.34,0.50,0.37,0.32,0.34,0.41586013263518223,1.428039693918633
136015,21306805,114.04,15.71,0.47,0.34,0.43,0.48,0.47,0.34,0.43,0.48,0.5144104943256039,1.9111924271688485
136055,348073,316.23,15.91,0.27,0.31,0.26,0.28,0.27,0.31,0.26,0.28,0.22890054786820907,0.7500548827832679
136057,6147475,199.56,16.88,0.32,0.29,0.28,0.31,0.32,0.29,0.28,0.31,0.2650916953562524,0.9429119493687032
136170,48281000,358.02,25.37,0.48,0.53,0.36,0.29,0.48,0.53,0.36,0.29,0.45187641368549064,1.6046083420520096
136241,22093816,21.88,-4.22,0.31,0.24,0.19,0.15,0.31,0.24,0.19,0.15,0.13515845302518964,0.47121811194402335
136249,27650203,215.90,15.25,0.38,0.42,0.41,0.41,0.38,0.42,0.41,0.41,0.49449395729853646,1.6683241772288175
136260,4895987,267.01,-3.62,0.35,0.31,0.22,0.28,0.35,0.31,0.22,0.28,0.23626263774586587,0.7534498940648879
136348,65788242,288.81,21.50,0.73,1.12,0.68,0.76,0.73,1.12,0.68,0.76,1.7898449778342762,6.063013877817883
136366,14203460,33.75,-0.19,0.43,0.55,0.32,0.34,0.43,0.55,0.32,0.34,0.5047824130395051,1.7173579547915596
136385,7450363,268.33,11.26,0.35,0.36,0.24,0.32,0.35,0.36,0.24,0.32,0.2992397998046326,0.9949562204094763
136388,4701751,49.39,8.31,1.68,1.37,1.56,6.20,1.68,1.37,1.56,6.20,18.1461274019052,62.14791001859038
136392,25495567,314.91,8.50,0.33,0.20,0.16,0.19,0.33,0.20,0.16,0.19,0.13985605569438714,0.45297724507119586
136441,11435033,155.39,11.07,0.28,0.33,0.38,0.33,0.28,0.33,0.38,0.33,0.33121159672874284,1.1044338156492877
136504,1833389,134.69,-1.19,0.29,0.28,0.28,0.26,0.29,0.28,0.28,0.26,0.24228260290861084,0.8095080840435293
136506,15341152,320.27,29.27,0.29,0.37,0.25,0.26,0.29,0.37,0.25,0.26,0.2336941298617213,0.8108948716647577
136556,43687362,114.35,6.02,0.31,0.29,0.35,0.35,0.31,0.29,0.35,0.35,0.32855784665807664,1.0931417164551904
136565,2186969,345.67,8.80,0.27,0.24,0.29,0.28,0.27,0.24,0.29,0.28,0.22452533468015784,0.7643616514635901
136568,17854328,267.36,-11.38,0.46,0.42,0.53,0.35,0.46,0.42,0.53,0.35,0.5908089237696965,2.062899251525256
136588,56014830,311.57,18.72,0.30,0.28,0.28,0.25,0.30,0.28,0.28,0.25,0.22926294164113914,0.7272127590862901
136615,14688828,334.47,4.71,0.33,0.33,0.32,0.36,0.33,0.33,0.32,0.36,0.3563367361653753,1.1893045018576656
136627,61640402,222.71,-1.31,0.49,0.39,0.27,0.25,0.49,0.39,0.27,0.25,0.3615024396906926,1.23578341377724
136662,35405932,47.20,-3.47,1.81,0.41,0.31,0.31,1.81,0.41,0.31,0.31,0.6110738383541869,1.987004388299706
136766,7637140,223.24,40.47,0.64,0.74,0.67,0.72,0.64,0.74,0.67,0.72,1.091589714021709,3.654014623050021
136775,22443736,165.45,5.00,0.32,0.29,0.34,0.32,0.32,0.29,0.34,0.32,0.318618284679484,1.093638128730096
136783,66879340,164.18,4.29,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.18659720573960384,0.6508569710956954
136973,28816141,271.05,21.74,0.39,0.50,0.35,0.37,0.39,0.50,0.35,0.37,0.4470294526092481,1.6008337888431883
137019,70165712,224.49,44.80,1.16,1.26,0.44,0.52,1.16,1.26,0.44,0.52,1.3026091967164415,4.276696919445299
137065,22012496,75.59,3.47,0.41,0.41,0.52,0.52,0.41,0.41,0.52,0.52,0.6609310259574591,2.2736540354648156
137096,70551815,208.08,10.05,0.26,0.27,0.30,0.32,0.26,0.27,0.30,0.32,0.2525776291344593,0.8401621319887266
137217,75180896,210.01,15.09,0.28,0.27,0.32,0.27,0.28,0.27,0.32,0.27,0.2456814140401946,0.8393673985922088
137296,24212476,299.00,3.36,0.53,0.58,0.50,0.44,0.53,0.58,0.50,0.44,0.8049662890600311,2.69148328360428
137350,7930341,335.00,25.86,2.86,3.38,1.14,2.57,2.86,3.38,1.14,2.57,14.964468913340728,42.541644004395195
137390,43495485,6.06,10.35,1.34,0.79,0.48,0.46,1.34,0.79,0.48,0.46,1.3375146399256734,4.1865739393067845
137467,64735045,350.90,34.50,0.61,0.64,0.40,0.41,0.61,0.64,0.40,0.41,0.6162326517502457,2.11935090338062
137469,77414913,335.92,1.38,0.24,0.26,0.24,0.23,0.24,0.26,0.24,0.23,0.18713931455421115,0.6500611269113118
137487,35344578,31.55,4.29,0.31,0.33,0.30,0.28,0.31,0.33,0.30,0.28,0.28641306542984213,0.9616646655964115
137537,52990531,24.79,0.52,0.29,0.26,0.27,0.25,0.29,0.26,0.27,0.25,0.22113223485251157,0.7604139917094642
137571,16496893,17.71,8.39,0.38,0.39,0.54,0.61,0.38,0.39,0.54,0.61,0.6777449429259131,2.2986686506978393
137603,30799022,346.11,12.06,0.28,0.33,0.31,0.31,0.28,0.33,0.31,0.31,0.2862209795165292,0.96159672037748
137661,22129736,123.88,19.16,0.37,0.36,0.49,0.45,0.37,0.36,0.49,0.45,0.47434105686627537,1.83745132972559
137668,51133257,359.38,3.32,0.23,0.33,0.24,0.29,0.23,0.33,0.24,0.29,0.23065552764621983,0.7783701443014511
137711,79205800,72.91,34.50,0.32,0.26,0.35,0.25,0.32,0.26,0.35,0.25,0.21168456236822591,0.7142359863170049
137794,38132005,7.47,2.72,0.68,0.52,0.39,0.34,0.68,0.52,0.39,0.34,0.6824460382592022,2.2843309522855186
137806,8756840,119.27,10.31,0.48,0.43,0.40,0.45,0.48,0.43,0.40,0.45,0.5981493842739231,2.028437080674035
137840,57034692,345.81,9.22,0.26,0.37,0.23,0.25,0.26,0.37,0.23,0.25,0.2266635663308925,0.7219202718200785
137910,29871391,49.88,21.54,0.84,0.71,0.69,0.81,0.84,0.71,0.69,0.81,1.6424110291522303,5.474380038354649
137932,1791376,17.84,37.12,0.42,0.40,0.35,0.34,0.42,0.40,0.35,0.34,0.3459654645775555,1.2104007047400671
137971,11526243,319.13,2.84,0.48,0.48,0.50,0.48,0.48,0.48,0.50,0.48,0.7227614858929373,2.626758740565994
138005,24780443,66.88,24.67,0.83,0.98,0.67,0.94,0.83,0.98,0.67,0.94,1.992679528447196,7.696095592340324
138125,11333473,269.03,-2.09,0.11,0.27,0.19,0.24,0.11,0.27,0.19,0.24,0.12799072761131808,0.4449615057153397
138125,29513102,128.23,21.58,0.95,0.88,1.10,1.06,0.95,0.88,1.10,1.06,2.8698570525730753,9.52804904576412
138131,35302784,271.32,8.73,0.29,0.34,0.39,0.39,0.29,0.34,0.39,0.39,0.3821433477025715,1.3069362960631934
138181,66037171,33.18,-2.09,0.57,0.48,0.25,0.24,0.57,0.48,0.25,0.24,0.41152712653821977,1.2707734273331426
138193,21103478,325.68,12.25,0.94,0.62,0.49,0.46,0.94,0.62,0.49,0.46,0.9769958688881343,3.1317380132508488
138198,44334860,33.27,7.48,0.26,0.26,0.24,0.28,0.26,0.26,0.24,0.28,0.2112657402937324,0.7078683895457425
138354,45413430,164.27,32.40,0.40,0.39,0.36,0.39,0.40,0.39,0.36,0.39,0.3931178893268993,1.329696762323566
138415,56188508,144.49,24.38,0.34,0.42,0.41,0.34,0.34,0.42,0.41,0.34,0.3929541196519502,1.3263626261806645
138449,20481611,296.19,0.78,0.78,0.78,1.34,0.61,0.78,0.78,1.34,0.61,2.3338404317476904,7.931413048067393
138487,60138479,267.75,47.90,1.16,1.12,1.05,1.29,1.16,1.12,1.05,1.29,2.841800314140142,9.155966050662235
138515,8773328,106.29,48.34,0.75,0.74,0.51,0.57,0.75,0.74,0.51,0.57,0.8432519046462921,2.896595690646035
138599,39138591,177.41,53.62,2.25,2.25,0.95,0.83,2.25,2.25,0.95,0.83,3.69585323693189,12.143430988410856
138632,31747601,138.65,0.15,0.29,0.25,0.34,0.33,0.29,0.25,0.34,0.33,0.2797285527756416,0.9605802236702227
138669,4054005,312.36,10.01,0.31,0.30,0.25,0.27,0.31,0.30,0.25,0.27,0.24267229348145206,0.822124482919253
138821,46175426,72.95,11.38,0.25,0.32,0.23,0.26,0.25,0.32,0.23,0.26,0.20968648496216327,0.7112798624048048
138890,34080563,357.63,4.37,0.28,0.24,0.25,0.27,0.28,0.24,0.25,0.27,0.21131207680981917,0.7292550354191129
138938,62272876,348.57,10.62,0.30,0.28,0.42,0.41,0.30,0.28,0.42,0.41,0.3696872395282842,1.2185708746141393
139071,47725621,72.73,15.71,0.60,0.72,0.38,0.39,0.60,0.72,0.38,0.39,0.7591678288797334,2.491231589270553
139100,34742349,238.97,39.50,1.84,1.32,1.94,1.87,1.84,1.32,1.94,1.87,6.7133661940151015,22.921311152611437
139204,39158985,25.40,7.75,0.26,0.27,0.29,0.32,0.26,0.27,0.29,0.32,0.2526448201626244,0.8300136196849972
139205,9784024,89.03,1.53,0.26,0.31,0.35,0.34,0.26,0.31,0.35,0.34,0.301258198638409,1.0047379295302736
139279,10803235,102.70,6.88,0.49,0.47,0.41,0.45,0.49,0.47,0.41,0.45,0.630393794709461,2.1678018197516455
139303,27647445,73.04,1.60,0.89,0.88,0.38,0.33,0.89,0.88,0.38,0.33,0.960744633809374,3.3196768400805907
139315,50057906,325.99,2.65,0.72,0.52,0.48,0.44,0.72,0.52,0.48,0.44,0.8789442251763783,2.9477169566812433
139674,30853199,354.95,22.59,0.28,0.28,0.27,0.30,0.28,0.28,0.27,0.30,0.22748640571902243,0.7492537654398324
139685,1723093,60.85,48.92,0.49,0.51,0.41,0.37,0.49,0.51,0.41,0.37,0.39138937522583217,1.3329821798172286
139735,13003768,55.99,33.15,0.57,0.54,0.42,0.42,0.57,0.54,0.42,0.42,0.5405223536450005,1.8472890618543967
139912,46959751,180.62,18.96,0.32,0.36,0.26,0.32,0.32,0.36,0.26,0.32,0.28525985665738673,1.0408167598109246
139939,8268246,58.49,8.31,0.41,0.55,0.32,0.22,0.41,0.55,0.32,0.22,0.37757567395676245,1.2888482459816162
140078,30891383,196.17,8.57,0.32,0.32,0.39,0.47,0.32,0.32,0.39,0.47,0.4281141703818546,1.4859284518022011
140125,41215060,164.14,5.38,0.20,0.33,0.33,0.29,0.20,0.33,0.33,0.29,0.24720649688118929,0.810100643434555
140284,303893,184.97,2.76,0.33,0.27,0.37,0.37,0.33,0.27,0.37,0.37,0.3422669073019298,1.1577148377867232
140312,53817657,318.96,-0.93,0.36,0.39,0.27,0.27,0.36,0.39,0.27,0.27,0.29895430905335696,0.9018871399634204
140314,61338661,262.79,6.69,0.70,0.61,0.54,0.45,0.70,0.61,0.54,0.45,1.006008791472552,3.395889252120652
,,,,,,,,,,,,,
