#E 	 30-90 	 0-30 	 -5-0 	 -30--5 	 -90--30
100.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
138.94954943731375 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
193.06977288832496 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
268.26957952797244 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
372.7593720314938 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
517.9474679231213 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
719.6856730011522 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
1000.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
1389.4954943731375 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
1930.6977288832495 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
2682.6957952797247 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
3727.593720314938 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
5179.474679231213 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
7196.856730011514 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
10000.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
13894.95494373136 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
19306.977288832495 	 0.0016852164186781044 	 0.0023054943061828785 	 0.0 	 0.0 	 0.0004527201775132125
26826.957952797275 	 0.004429357543677289 	 0.0048417160067987675 	 0.0 	 0.0 	 0.00418605625522924
37275.93720314938 	 0.035261937842074854 	 0.030389130409219728 	 0.03324367433870044 	 0.006429974375849317 	 0.014978988809837834
51794.74679231202 	 0.06910466773268513 	 0.0872532740430852 	 0.12424970885928337 	 0.04077624085116036 	 0.07675640787007479
71968.56730011514 	 0.22232573324504432 	 0.2519441003434427 	 0.27700837687233 	 0.11010686064096638 	 0.19776198906242126
100000.0 	 0.3417722615855606 	 0.5474995303585528 	 0.6155784175239427 	 0.32418626189646477 	 0.48214706158861853
138949.5494373136 	 0.6547983372112185 	 1.1589921005203414 	 0.8263549462548729 	 0.5972060432008993 	 0.9785194010397366
193069.77288832495 	 0.9857403868859734 	 1.9363153019299644 	 1.8165169230134486 	 1.0763608119076977 	 1.7928473630450754
268269.57952797273 	 0.957607656066565 	 2.1827783155967233 	 2.267119241342431 	 1.9913943701844072 	 2.7834455757211414
372759.3720314938 	 1.2530567200937046 	 3.1141720575726706 	 2.728924378708298 	 3.397537815373984 	 4.236197634399149
517947.4679231202 	 1.2998326122952986 	 4.771811123867293 	 3.046091428445782 	 5.145988508895654 	 6.051962866634774
719685.6730011514 	 1.7419992504856134 	 4.90702313303462 	 7.639010400226038 	 5.673746728034038 	 7.587976456843287
1000000.0 	 1.432805991060392 	 5.515341164136793 	 10.21460699153362 	 7.347932530532674 	 9.7945576264975
1389495.494373136 	 1.6596467640059842 	 6.2193597917895636 	 15.891697757213826 	 11.267561748629616 	 11.517493757100478
1930697.7288832497 	 1.041033373823262 	 7.617138556990126 	 9.820450909405416 	 11.19950485936731 	 11.881108270986426
2682695.7952797217 	 0.8796870480250712 	 9.206326285905922 	 16.656202946739594 	 13.283264124222958 	 14.926041886139927
3727593.720314938 	 0.26225382734596203 	 8.201317780292161 	 11.311543662321107 	 15.527256264977852 	 20.037658294172083
5179474.6792312125 	 1.206325027924003 	 5.5042602582236295 	 15.558848016053483 	 16.19675455879538 	 23.77261189576078
7196856.730011513 	 0.4597376677022062 	 3.361192235726921 	 18.853255853554934 	 20.43780398372023 	 25.10220125002111
10000000.0 	 0.41046009612316753 	 10.197876936985878 	 25.899949091237207 	 23.217394037937904 	 30.20461279324342
13894954.94373136 	 0.07362264895224253 	 6.542581902482912 	 23.14491037822238 	 22.01059015200697 	 30.958400623326476
19306977.288832497 	 0.23156878702091446 	 6.06234082472062 	 25.680671280282585 	 28.584501837021218 	 35.7820081428723
26826957.95279722 	 0.14930707214011782 	 8.368475072637068 	 55.82754997270598 	 32.960469274956935 	 44.39554024759249
37275937.20314938 	 0.04540820555661241 	 12.180461963622745 	 60.324756246976136 	 34.939175692492014 	 49.04734313458085
51794746.79231202 	 0.058218345770840556 	 9.156808819777083 	 52.05794820830594 	 43.43676071814996 	 55.56943306935608
71968567.30011514 	 0.09658664155004784 	 7.745689315227923 	 45.17776536545747 	 49.84897395148602 	 68.9784176362915
100000000.0 	 0.02774458191132788 	 16.866813459656903 	 43.47851582985236 	 54.09803326663429 	 66.70626894036845
138949549.4373136 	 0.004315879022825195 	 10.152556914189097 	 58.33772112943269 	 56.78355884448327 	 73.79822622214375
193069772.88832456 	 0.0022894984918294774 	 5.862136901644971 	 54.171642320394156 	 75.84725101776596 	 88.05543158444755
268269579.52797163 	 0.0012441507886288736 	 4.699516007612093 	 133.2195466817009 	 77.4125233453437 	 109.53777743391059
372759372.0314938 	 0.003641171639409142 	 15.389988314148072 	 73.5103694435612 	 66.33782954586711 	 100.53044944887431
517947467.9231202 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
719685673.0011529 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
1000000000.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
