#E 	 30-90 	 0-30 	 -5-0 	 -30--5 	 -90--30
100.0 	 1.3719159844640278e-10 	 0.0 	 0.0 	 0.0 	 0.0
138.94954943731375 	 1.417328615406907e-10 	 0.0 	 0.0 	 0.0 	 0.0
193.06977288832496 	 1.222703176390695e-09 	 0.0 	 0.0 	 0.0 	 0.0
268.26957952797244 	 3.783650443571508e-09 	 0.0 	 0.0 	 0.0 	 0.0
372.7593720314938 	 2.244085861313493e-09 	 0.0 	 0.0 	 0.0 	 0.0
517.9474679231213 	 3.6880371071382195e-09 	 0.0 	 0.0 	 0.0 	 0.0
719.6856730011522 	 4.219359779273013e-08 	 0.0 	 0.0 	 0.0 	 0.0
1000.0 	 4.507116914075828e-08 	 0.0 	 0.0 	 0.0 	 0.0
1389.4954943731375 	 6.847032947924208e-08 	 0.0 	 0.0 	 0.0 	 0.0
1930.6977288832495 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
2682.6957952797247 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
3727.593720314938 	 2.1634903097629196e-06 	 0.0 	 0.0 	 0.0 	 0.0
5179.474679231213 	 2.1905977386961907e-06 	 0.0 	 0.0 	 0.0 	 0.0
7196.856730011514 	 1.6512609838609008e-05 	 0.00017547703403177073 	 0.0 	 0.0 	 0.0
10000.0 	 0.0002967226792386563 	 0.00030101059689356777 	 0.0 	 0.0 	 0.0
13894.95494373136 	 0.0014345366659070438 	 0.0008301397980557299 	 0.0 	 0.0 	 0.0
19306.977288832495 	 0.006496783063189256 	 0.003555677761743616 	 0.0 	 0.0 	 0.0
26826.957952797275 	 0.02307651123001636 	 0.015562045246373061 	 0.014046969044675069 	 0.0 	 9.485281758999287e-05
37275.93720314938 	 0.10445473252885155 	 0.095615374911297 	 0.0550158310245098 	 0.005826000595945369 	 0.004680805935902066
51794.74679231202 	 0.2762978389352401 	 0.4267273454540492 	 0.18302715592677163 	 0.03038632278079074 	 0.03736845930520735
71968.56730011514 	 1.1328865150310325 	 1.8064170031566174 	 1.7294011093748385 	 0.077920884285736 	 0.09705456469812476
100000.0 	 3.0067356746481275 	 5.4588541054745665 	 4.1487367918443185 	 0.263372881253249 	 0.2850847422527231
138949.5494373136 	 6.747097521715586 	 13.564012805668362 	 11.363972804222705 	 0.6365648392234693 	 0.6481633527945868
193069.77288832495 	 11.217891525240178 	 25.48195334043387 	 26.221134759247764 	 1.3073521309224638 	 1.3871850496643576
268269.57952797273 	 15.08908905472493 	 41.64895494898862 	 39.923026394156274 	 2.941502995793972 	 2.3065021290716707
372759.3720314938 	 20.847680042481056 	 65.23217579226541 	 69.05787179229951 	 6.250822385449846 	 3.703077288454117
517947.4679231202 	 22.202326031379485 	 83.95487469521831 	 108.78731659100643 	 10.768958142828252 	 5.623842428118059
719685.6730011514 	 25.646056120078526 	 110.50237847342616 	 157.76753238217134 	 17.459005205667967 	 7.184766664469263
1000000.0 	 30.101876876371158 	 138.57823849615636 	 212.38661857883892 	 24.733682981603174 	 9.45782160721721
1389495.494373136 	 24.636976430494474 	 171.44536693890691 	 302.3943875078906 	 41.66799595947129 	 11.265613339323624
1930697.7288832497 	 26.90234102259394 	 207.17287775760195 	 339.48075975581395 	 56.12347729356345 	 11.838569073719665
2682695.7952797217 	 25.26316530678901 	 266.06017229470734 	 474.13225966649446 	 80.51649388556666 	 15.053535168257604
3727593.720314938 	 20.457865414769483 	 297.5260775922692 	 647.1235579491612 	 128.8613289328267 	 20.134690572524264
5179474.6792312125 	 21.45223526066085 	 363.97442310778285 	 836.971467915894 	 173.8381139944011 	 24.207076968186502
7196856.730011513 	 16.615911848689233 	 388.02281602853424 	 958.7934596683123 	 239.51962543850124 	 25.213574083106536
10000000.0 	 13.807053313590153 	 417.6010184541667 	 1152.4420960007092 	 353.3680337207178 	 31.51421400739788
13894954.94373136 	 11.775583927779726 	 491.8984623564664 	 1552.1287303195618 	 476.7993822681592 	 33.32219482707945
19306977.288832497 	 6.958645287118678 	 539.4296669681876 	 1986.1066220798075 	 600.7990504411673 	 38.50173823816319
26826957.95279722 	 3.4890686653051026 	 557.4687195573721 	 2264.1878043129564 	 805.1604482788168 	 53.6183140796401
37275937.20314938 	 3.0018063424856853 	 641.2198959275005 	 2660.250275894635 	 995.0430560156688 	 66.85791515766017
51794746.79231202 	 1.7710542664852504 	 642.6041334836976 	 3081.698887854055 	 1303.5339842308026 	 104.72250585171301
71968567.30011514 	 1.139203442970444 	 700.0455181922506 	 3906.1993243382467 	 1625.895321792855 	 167.63308211615714
100000000.0 	 0.9778082922575769 	 839.9836495607514 	 4623.642222493702 	 1921.9545401406972 	 228.6823375299785
138949549.4373136 	 0.5239917267780876 	 854.4379367508409 	 5113.8516848013915 	 2332.9857759571005 	 357.67300871298795
193069772.88832456 	 0.610269159424383 	 897.5929146744045 	 6120.475378795779 	 2765.3681342714362 	 549.4173794215542
268269579.52797163 	 0.13812593173128865 	 768.1641898756085 	 8075.141663301784 	 3303.0871890586222 	 753.7538994427027
372759372.0314938 	 0.2069695601534767 	 901.3888907701421 	 8048.435198806281 	 3293.022273387969 	 812.0480040678913
517947467.9231202 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
719685673.0011529 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
1000000000.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
