#E 	 30-90 	 0-30 	 -5-0 	 -30--5 	 -90--30
100.0 	 1.3719159844640278e-10 	 0.0 	 0.0 	 0.0 	 0.0
138.94954943731375 	 1.417328615406907e-10 	 0.0 	 0.0 	 0.0 	 0.0
193.06977288832496 	 1.222703176390695e-09 	 0.0 	 0.0 	 0.0 	 0.0
268.26957952797244 	 3.783650443571508e-09 	 0.0 	 0.0 	 0.0 	 0.0
372.7593720314938 	 2.244085861313493e-09 	 0.0 	 0.0 	 0.0 	 0.0
517.9474679231213 	 3.6880371071382195e-09 	 0.0 	 0.0 	 0.0 	 0.0
719.6856730011522 	 4.219359779273013e-08 	 0.0 	 0.0 	 0.0 	 0.0
1000.0 	 4.507116914075828e-08 	 0.0 	 0.0 	 0.0 	 0.0
1389.4954943731375 	 6.847032947924208e-08 	 0.0 	 0.0 	 0.0 	 0.0
1930.6977288832495 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
2682.6957952797247 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
3727.593720314938 	 2.1634903097629196e-06 	 0.0 	 0.0 	 0.0 	 0.0
5179.474679231213 	 2.1905977386961907e-06 	 0.0 	 0.0 	 0.0 	 0.0
7196.856730011514 	 1.6512609838609008e-05 	 0.00017547703403177073 	 0.0 	 0.0 	 0.0
10000.0 	 0.0002967226792386563 	 0.00030101059689356777 	 0.0 	 0.0 	 0.0
13894.95494373136 	 0.0014345366659070438 	 0.0008301397980557299 	 0.0 	 0.0 	 0.0
19306.977288832495 	 0.004811566644511152 	 0.0027119556074625658 	 0.0 	 0.0 	 0.0
26826.957952797275 	 0.018647153686339075 	 0.012193783372735799 	 0.005374765260625839 	 0.0 	 0.0
37275.93720314938 	 0.06686565553200774 	 0.06841074928821773 	 0.02480480104657081 	 0.0 	 0.0
51794.74679231202 	 0.2110309753295657 	 0.30780119364049585 	 0.09304632969122131 	 0.0032634412318873996 	 0.0
71968.56730011514 	 0.8195457529353586 	 1.4330812716325918 	 1.2531275319366768 	 0.0 	 0.0
100000.0 	 2.47038200413776 	 4.8618624104118995 	 2.736899306067415 	 0.02120369738499282 	 0.0
138949.5494373136 	 5.877844612193503 	 12.475704581773556 	 10.118008436135069 	 0.10340261902526829 	 0.001246324037172631
193069.77288832495 	 10.522980716125312 	 24.08494748769856 	 22.535056891786184 	 0.20374379040194124 	 0.00286109202584599
268269.57952797273 	 14.306219439901502 	 40.19772907131321 	 35.78986950904626 	 0.7453230634501832 	 0.0
372759.3720314938 	 19.986829703476246 	 63.311280945758725 	 61.743630967864675 	 1.2029807254558011 	 0.00983800972976816
517947.4679231202 	 21.432975732652523 	 81.34531228392542 	 97.34326324592806 	 2.5962397582001557 	 0.0
719685.6730011514 	 24.961276295785144 	 108.36091936882023 	 139.44273786177226 	 5.694383682796532 	 0.01091509726623984
1000000.0 	 29.426703284907003 	 134.67022267334477 	 186.08058120010625 	 7.280350198290161 	 0.015865597199332192
1389495.494373136 	 24.37363125085472 	 166.49101804050346 	 271.0537864727795 	 15.09125983761513 	 0.014349275142700804
1930697.7288832497 	 26.421762932150873 	 198.99608068344293 	 300.25374206542773 	 24.655840026523784 	 0.060500046649294405
2682695.7952797217 	 25.015806810779562 	 255.49396859081398 	 410.1875939610137 	 36.12729511320149 	 0.029505314962408612
3727593.720314938 	 20.197449429277793 	 290.07865017072174 	 525.0738730769234 	 67.06588759333769 	 0.12443371484710662
5179474.6792312125 	 21.197992417191653 	 346.16341084337625 	 724.7816500964617 	 95.75398274254965 	 0.1310138929045987
7196856.730011513 	 16.081024035725676 	 373.06460553912456 	 769.5530323612791 	 138.73163844768945 	 0.013946799290916703
10000000.0 	 13.420250381273926 	 405.0334743406456 	 996.051324535956 	 213.77481845985366 	 0.240483972527823
13894954.94373136 	 11.571189530414216 	 473.18766935529965 	 1279.7610531361818 	 313.7857113205913 	 0.6404138129747062
19306977.288832497 	 6.762131378538398 	 512.4337233788845 	 1590.9497142639111 	 387.8887689464058 	 1.5510885731656607
26826957.95279722 	 3.3365141005213856 	 518.2803095640498 	 1783.4095145511003 	 550.4877732149633 	 7.370332247955711
37275937.20314938 	 2.748580015737929 	 603.8020786734414 	 2214.1142026990797 	 691.2204054509889 	 15.116706731468495
51794746.79231202 	 1.7487714770918847 	 594.8868961725287 	 2501.367996306506 	 903.0311612741467 	 42.96358555039378
71968567.30011514 	 1.113723699532823 	 641.2915313680166 	 3090.2216337512455 	 1118.2921468699299 	 101.9304909394037
100000000.0 	 0.969470419812287 	 745.6575661695474 	 3784.5732150400745 	 1357.5545421178929 	 160.42824846418367
138949549.4373136 	 0.5231122022530535 	 741.8012288454221 	 3776.520253487521 	 1627.7276757667985 	 291.07729528863456
193069772.88832456 	 0.6076281301086138 	 771.5935437150073 	 5127.056478680206 	 1934.7654473543848 	 468.42147426235874
268269579.52797163 	 0.136186118589046 	 676.8198099450552 	 6424.300479604645 	 2259.030847140483 	 651.1749900807736
372759372.0314938 	 0.20653126531467275 	 788.9070674925931 	 5988.380738488425 	 2239.5134984511265 	 718.9315875565654
517947467.9231202 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
719685673.0011529 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
1000000000.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0
